manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,微星,RTX,4070,Ti,12,6,23990,https://24h.pchome.com.tw/prod/DRADLA-A900FW2DO
NVIDIA,華碩,RTX,4070,,12,6,19990,https://24h.pchome.com.tw/prod/DRADKY-1900H3894
NVIDIA,技嘉,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADL2-A900GOSH5
NVIDIA,華碩,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADKY-A900GXIJF
NVIDIA,華碩,RTX,4070,,12,,18990,https://24h.pchome.com.tw/prod/DRADKY-A900GANZH
NVIDIA,微星,RTX,4060,Ti,16,6,14990,https://24h.pchome.com.tw/prod/DRADLA-A900GJ7G3
NVIDIA,微星,RTX,3060,Ti,8,6,11990,https://24h.pchome.com.tw/prod/DRADHV-A900GO67P
NVIDIA,微星,RTX,3060,,12,6,8990,https://24h.pchome.com.tw/prod/DRADLA-A900GLAAN
NVIDIA,華碩,RTX,4060,Ti,16,6,14990,https://24h.pchome.com.tw/prod/DRADKY-A900GSQSJ
NVIDIA,技嘉,RTX,4060,,8,6,9990,https://24h.pchome.com.tw/prod/DRADL2-A900GLA2X
NVIDIA,索泰,RTX,4070,Ti,,,23990,https://24h.pchome.com.tw/prod/DRADLX-A900FXPTF
NVIDIA,索泰,RTX,4060,,8,6,8990,https://24h.pchome.com.tw/prod/DRADLX-A900GG0JJ
NVIDIA,微星,RTX,4060,,8,6,11990,https://24h.pchome.com.tw/prod/DRADLA-A900H1JK3
NVIDIA,技嘉,GTX,1650,,4,6,4290,https://24h.pchome.com.tw/prod/DRADL2-A900GSKSZ
NVIDIA,華碩,RTX,3060,,,,8990,https://24h.pchome.com.tw/prod/DRADKY-A900GRMRJ
NVIDIA,微星,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADLA-A900GMFLX
NVIDIA,華碩,RTX,4070,Ti,12,6,24990,https://24h.pchome.com.tw/prod/DRADKY-A900GP7VQ
NVIDIA,華碩,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADKY-A900G7WHW
Intel,撼與,Arc,A770,,16,6,11390,https://24h.pchome.com.tw/prod/DGBN4M-A900GQ9JG
NVIDIA,華碩,RTX,3060,,8,6,8090,https://24h.pchome.com.tw/prod/DRADGJ-A900GY118
NVIDIA,技嘉,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADL2-A900GLA3I
NVIDIA,索泰,RTX,3060,,12,6,7990,https://24h.pchome.com.tw/prod/DRADLX-A900FX70S
NVIDIA,華碩,RTX,4060,Ti,8,6,9990,https://24h.pchome.com.tw/prod/DRADOG-A900GLTG1
NVIDIA,華碩,RTX,4070,,12,6,21490,https://24h.pchome.com.tw/prod/DRADKY-A900GXIJI
NVIDIA,微星,GTX,1650,,4,6,4390,https://24h.pchome.com.tw/prod/DRADLA-A900GL5KL
NVIDIA,華碩,RTX,4060,,8,6,10990,https://24h.pchome.com.tw/prod/DRADKY-A900GLNIN
AMD,,RX,6650,XT,8,6,6990,https://24h.pchome.com.tw/prod/DRAD1Y-A900GP1EM
NVIDIA,微星,RTX,4060,Ti,16,6,16990,https://24h.pchome.com.tw/prod/DRADLA-A900GJ8VO
NVIDIA,微星,RTX,3060,,8,6,7990,https://24h.pchome.com.tw/prod/DRADLA-A900GOTBP
NVIDIA,微星,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADLA-A900GOTDS
NVIDIA,華碩,RTX,4070,,12,,22490,https://24h.pchome.com.tw/prod/DRADKY-A900GMGU5
NVIDIA,華碩,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADKY-A900GE9AX
NVIDIA,微星,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADLA-A900G7YKR
AMD,技嘉,RX,6500,XT,4,6,4590,https://24h.pchome.com.tw/prod/DRADL2-A900GH7XA
NVIDIA,微星,GTX,1650,,4,6,4390,https://24h.pchome.com.tw/prod/DRADLA-A900GLXLW
NVIDIA,微星,RTX,4070,Super,12,6,23500,https://24h.pchome.com.tw/prod/DRADLA-A900H33AJ
NVIDIA,微星,RTX,4070,,12,6,19990,https://24h.pchome.com.tw/prod/DRADLA-1900GSZ5S
